--- Pendolo di torsione ---
Tempo,Forzante,Pendolo
11,600	-14,695	-0,070
11,620	-17,108	-0,066
11,640	-19,248	-0,051
11,660	-21,120	-0,045
11,680	-22,707	-0,029
11,700	-23,924	-0,024
11,720	-24,772	-0,007
11,740	-25,264	-0,001
11,760	-25,414	0,019
11,780	-25,185	0,021
11,800	-24,583	0,041
11,820	-23,629	0,045
11,840	-22,293	0,062
11,860	-20,650	0,065
11,880	-18,721	0,081
11,900	-16,493	0,081
11,920	-14,019	0,092
11,940	-11,342	0,090
11,960	-8,517	0,107
11,980	-5,524	0,097
12,000	-2,474	0,109
12,020	0,615	0,096
12,040	3,691	0,103
12,060	6,715	0,090
12,080	9,655	0,092
12,100	12,437	0,078
12,120	15,060	0,080
12,140	17,455	0,062
12,160	19,608	0,064
12,180	21,445	0,045
12,200	22,983	0,045
12,220	24,179	0,020
12,240	25,027	0,019
12,260	25,501	-0,007
12,280	25,625	-0,010
12,300	25,374	-0,027
12,320	24,746	-0,028
12,340	23,770	-0,055
12,360	22,421	-0,054
12,380	20,799	-0,082
12,400	18,817	-0,072
12,420	16,589	-0,096
12,440	14,124	-0,088
12,460	11,435	-0,107
12,480	8,596	-0,098
12,500	5,629	-0,113
12,520	2,588	-0,102
12,540	-0,505	-0,113
12,560	-3,564	-0,099
12,580	-6,605	-0,105
12,600	-9,523	-0,088
12,620	-12,313	-0,093
12,640	-14,919	-0,072
12,660	-17,319	-0,076
12,680	-19,437	-0,052
12,700	-21,270	-0,047
12,720	-22,830	-0,031
12,740	-24,016	-0,022
12,760	-24,855	-0,002
12,780	-25,330	0,005
12,800	-25,436	0,025
12,820	-25,172	0,028
12,840	-24,570	0,053
12,860	-23,555	0,055
12,880	-22,201	0,070
12,900	-20,558	0,071
12,920	-18,580	0,089
12,940	-16,308	0,092
12,960	-13,825	0,101
12,980	-11,136	0,105
13,000	-8,271	0,114
13,020	-5,269	0,108
13,040	-2,215	0,117
13,060	0,879	0,108
13,080	3,964	0,105
13,100	6,970	0,099
13,120	9,905	0,098
13,140	12,696	0,090
13,160	15,275	0,080
